punt2(  50 ,  20 ) heeft buur punt2(  51 ,  20 ),  gevonden in    253 doorzochte knopen
punt2(  50 ,  30 ) heeft buur punt2(  50 ,  30 ),  gevonden in    204 doorzochte knopen
punt2(  50 ,  40 ) heeft buur punt2(  49 ,  39 ),  gevonden in    195 doorzochte knopen
punt2(  50 ,  50 ) heeft buur punt2(  49 ,  50 ),  gevonden in     44 doorzochte knopen
punt2(  50 ,  60 ) heeft buur punt2(  51 ,  60 ),  gevonden in    101 doorzochte knopen
punt2(  50 ,  70 ) heeft buur punt2(  49 ,  70 ),  gevonden in    156 doorzochte knopen
punt2(  50 ,  80 ) heeft buur punt2(  50 ,  79 ),  gevonden in    166 doorzochte knopen
punt2(  50 ,  90 ) heeft buur punt2(  50 ,  89 ),  gevonden in    417 doorzochte knopen
punt2(  50 , 100 ) heeft buur punt2(  50 , 100 ),  gevonden in    512 doorzochte knopen
punt2(  50 , 110 ) heeft buur punt2(  50 , 110 ),  gevonden in    193 doorzochte knopen
punt2(  50 , 120 ) heeft buur punt2(  49 , 120 ),  gevonden in    142 doorzochte knopen
punt2(  50 , 130 ) heeft buur punt2(  49 , 130 ),  gevonden in    123 doorzochte knopen
punt2(  50 , 140 ) heeft buur punt2(  49 , 140 ),  gevonden in    180 doorzochte knopen
punt2(  50 , 150 ) heeft buur punt2(  50 , 150 ),  gevonden in    297 doorzochte knopen
punt2(  50 , 160 ) heeft buur punt2(  50 , 160 ),  gevonden in    489 doorzochte knopen
punt2(  50 , 170 ) heeft buur punt2(  50 , 169 ),  gevonden in    647 doorzochte knopen
punt2(  50 , 180 ) heeft buur punt2(  50 , 179 ),  gevonden in    625 doorzochte knopen
punt2(  50 , 190 ) heeft buur punt2(  51 , 190 ),  gevonden in    647 doorzochte knopen
punt2(  60 ,   0 ) heeft buur punt2(  60 ,   0 ),  gevonden in    158 doorzochte knopen
punt2(  60 ,  10 ) heeft buur punt2(  60 ,  10 ),  gevonden in    118 doorzochte knopen
punt2(  60 ,  20 ) heeft buur punt2(  59 ,  20 ),  gevonden in    111 doorzochte knopen
punt2(  60 ,  30 ) heeft buur punt2(  60 ,  30 ),  gevonden in     89 doorzochte knopen
punt2(  60 ,  40 ) heeft buur punt2(  60 ,  40 ),  gevonden in     61 doorzochte knopen
punt2(  60 ,  50 ) heeft buur punt2(  60 ,  50 ),  gevonden in     75 doorzochte knopen
punt2(  60 ,  60 ) heeft buur punt2(  60 ,  59 ),  gevonden in    108 doorzochte knopen
punt2(  60 ,  70 ) heeft buur punt2(  60 ,  70 ),  gevonden in    218 doorzochte knopen
punt2(  60 ,  80 ) heeft buur punt2(  60 ,  80 ),  gevonden in    270 doorzochte knopen
punt2(  60 ,  90 ) heeft buur punt2(  59 ,  90 ),  gevonden in    413 doorzochte knopen
punt2(  60 , 100 ) heeft buur punt2(  59 , 100 ),  gevonden in    477 doorzochte knopen
punt2(  60 , 110 ) heeft buur punt2(  60 , 110 ),  gevonden in    479 doorzochte knopen
punt2(  60 , 120 ) heeft buur punt2(  59 , 119 ),  gevonden in    323 doorzochte knopen
punt2(  60 , 130 ) heeft buur punt2(  60 , 130 ),  gevonden in    291 doorzochte knopen
punt2(  60 , 140 ) heeft buur punt2(  60 , 140 ),  gevonden in    380 doorzochte knopen
punt2(  60 , 150 ) heeft buur punt2(  59 , 150 ),  gevonden in    516 doorzochte knopen
punt2(  60 , 160 ) heeft buur punt2(  60 , 160 ),  gevonden in    820 doorzochte knopen
punt2(  60 , 170 ) heeft buur punt2(  60 , 170 ),  gevonden in    838 doorzochte knopen
punt2(  60 , 180 ) heeft buur punt2(  61 , 180 ),  gevonden in    870 doorzochte knopen
punt2(  60 , 190 ) heeft buur punt2(  60 , 190 ),  gevonden in    975 doorzochte knopen
punt2(  70 ,   0 ) heeft buur punt2(  71 ,   1 ),  gevonden in     92 doorzochte knopen
punt2(  70 ,  10 ) heeft buur punt2(  71 ,  10 ),  gevonden in    105 doorzochte knopen
punt2(  70 ,  20 ) heeft buur punt2(  69 ,  20 ),  gevonden in     85 doorzochte knopen
punt2(  70 ,  30 ) heeft buur punt2(  70 ,  30 ),  gevonden in     49 doorzochte knopen
punt2(  70 ,  40 ) heeft buur punt2(  69 ,  40 ),  gevonden in     54 doorzochte knopen
punt2(  70 ,  50 ) heeft buur punt2(  70 ,  50 ),  gevonden in    139 doorzochte knopen
punt2(  70 ,  60 ) heeft buur punt2(  70 ,  59 ),  gevonden in    246 doorzochte knopen
punt2(  70 ,  70 ) heeft buur punt2(  69 ,  70 ),  gevonden in    327 doorzochte knopen
punt2(  70 ,  80 ) heeft buur punt2(  70 ,  80 ),  gevonden in    507 doorzochte knopen
punt2(  70 ,  90 ) heeft buur punt2(  70 ,  90 ),  gevonden in    651 doorzochte knopen
punt2(  70 , 100 ) heeft buur punt2(  70 ,  99 ),  gevonden in    827 doorzochte knopen
punt2(  70 , 110 ) heeft buur punt2(  70 , 110 ),  gevonden in    673 doorzochte knopen
punt2(  70 , 120 ) heeft buur punt2(  69 , 120 ),  gevonden in    530 doorzochte knopen
punt2(  70 , 130 ) heeft buur punt2(  69 , 130 ),  gevonden in    490 doorzochte knopen
punt2(  70 , 140 ) heeft buur punt2(  70 , 140 ),  gevonden in    625 doorzochte knopen
punt2(  70 , 150 ) heeft buur punt2(  70 , 150 ),  gevonden in    676 doorzochte knopen
punt2(  70 , 160 ) heeft buur punt2(  70 , 159 ),  gevonden in    855 doorzochte knopen
punt2(  70 , 170 ) heeft buur punt2(  69 , 170 ),  gevonden in   1149 doorzochte knopen
punt2(  70 , 180 ) heeft buur punt2(  70 , 180 ),  gevonden in   1045 doorzochte knopen
punt2(  70 , 190 ) heeft buur punt2(  70 , 190 ),  gevonden in   1074 doorzochte knopen
punt2(  80 ,   0 ) heeft buur punt2(  78 ,   0 ),  gevonden in    119 doorzochte knopen
punt2(  80 ,  10 ) heeft buur punt2(  79 ,  10 ),  gevonden in    214 doorzochte knopen
punt2(  80 ,  20 ) heeft buur punt2(  80 ,  20 ),  gevonden in    237 doorzochte knopen
punt2(  80 ,  30 ) heeft buur punt2(  79 ,  30 ),  gevonden in     81 doorzochte knopen
